top - 11:09:44 up  1:14,  1 user,  load average: 0.85, 0.47, 0.25
Tasks: 209 total,   1 running, 173 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.7 us,  3.6 sy,  0.1 ni, 84.6 id,  1.9 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  7255932 total,  4513732 free,  1713772 used,  1028428 buff/cache
 1740 akhil     20   0  271196   5796   5236 S   0.0  0.1   0:00.00 gsd-mouse
 1745 akhil     20   0 1203428  21772  16904 S   0.0  0.3   0:00.16 gsd-media-+
 1779 akhil     20   0  501648  12592  10868 S   0.0  0.2   0:00.01 gsd-printer
 1802 akhil     20   0  391256  10228   8908 S   0.0  0.1   0:00.04 indicator-+
 1806 akhil     20   0  366208   7820   6596 S   0.0  0.1   0:00.01 indicator-+
 1814 akhil     20   0  271928   6168   5148 S   0.0  0.1   0:00.01 gsd-disk-u+
 1824 akhil     20   0 1444392 151668  36648 S   0.0  2.1   0:04.55 gnome-soft+
 1850 akhil     20   0 1038520  58364  45244 S   0.0  0.8   0:01.41 nautilus-d+
 1855 akhil     20   0  884512  66228  26932 S   0.0  0.9   0:00.48 evolution-+
 1856 akhil     20   0  197776   6564   5912 S   0.0  0.1   0:01.20 ibus-engin+
 1867 akhil     20   0  360992   7024   6008 S   0.0  0.1   0:00.01 gvfsd-trash
 1899 akhil     20   0  188140   5360   4492 S   0.0  0.1   0:00.06 dconf-serv+
 1909 akhil     20   0 1128260  61936  23448 S   0.0  0.9   0:00.38 evolution-+
 1918 akhil     20   0  725724  24160  20744 S   0.0  0.3   0:00.04 evolution-+
 1929 akhil     20   0 1010176  26804  23360 S   0.0  0.4   0:00.06 evolution-+
 1948 root      20   0  550240  18124  13404 S   0.0  0.2   0:00.19 fwupd
 1988 akhil     20   0  621428  15064  13132 S   0.0  0.2   0:00.10 zeitgeist-+
 2000 akhil     20   0  426256   8436   7296 S   0.0  0.1   0:00.04 zeitgeist-+
 2008 akhil     20   0  321948  15448  13084 S   0.0  0.2   0:00.06 zeitgeist-+
 2023 akhil     20   0  793840  38432  27884 S   0.0  0.5   0:05.91 gnome-term+
 2032 akhil     20   0   22844   5100   3324 S   0.0  0.1   0:00.34 bash
 2083 akhil     20   0  587704  26884  21660 S   0.0  0.4   0:00.25 update-not+
 2105 akhil     30  10  695652 133344  79800 S   0.0  1.8   0:04.21 update-man+
 2129 akhil     20   0  197368   5796   5200 S   0.0  0.1   0:00.01 gvfsd-meta+
 2135 akhil     20   0 96.740g  31748  26192 S   0.0  0.4   0:00.09 deja-dup-m+
 2157 akhil     20   0 2791688 362692 161252 S   0.0  5.0   2:51.23 firefox
 2236 akhil     20   0 1940660 301456 108296 S   0.0  4.2   2:51.99 Web Content
 2447 root      20   0  100556   8068   6844 S   0.0  0.1   0:00.01 cupsd
 2448 root      20   0  303516  10896   9456 S   0.0  0.2   0:00.02 cups-brows+
 2870 root      20   0       0      0      0 I   0.0  0.0   0:00.14 kworker/u4+
 3095 akhil     20   0 1732700 173316  93880 S   0.0  2.4   0:08.70 Web Content
 3247 root      20   0       0      0      0 I   0.0  0.0   0:00.05 kworker/u4+
 3249 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0
 3298 akhil     20   0 1589720  84652  65696 S   0.0  1.2   0:00.33 Web Content
 3324 root      20   0       0      0      0 I   0.0  0.0   0:00.02 kworker/u4+
